产品ID,产品名称,核算边界,碳足迹,企业名称,数据年份,数据类型,是否低碳
38924X0062014A,塑料纽扣（PR-R）,摇篮到大门,19.696kgCO2e / 千克,-,2014,文献数据,否
38924X0042014A,塑料纽扣（PVC-U）,摇篮到大门,18.146kgCO2e / 千克,-,2014,文献数据,否
36410X0062011A,塑料编制布包装袋,摇篮到大门,2.507kgCO2e / 千克,-,2011,文献数据,否
36410X0022013C,塑料编织布包装袋（快递封装用）,摇篮到大门,2.507kgCO2e / 千克,-,2013,文献数据,否
36410X0052011A,塑料薄膜包装袋,摇篮到大门,3.24kgCO2e / 千克,-,2011,文献数据,否
36410X0012014C,塑料薄膜包装袋（快递封装用）,摇篮到大门,3.24kgCO2e / 千克,-,2014,文献数据,否
36990X0082023A,塑料（平均）,摇篮到大门,3.102kgCO2e / 千克,-,2023,文献数据,否
36490X0322023A,塑胶栈板（PP）,摇篮到大门,75kgCO2e / 个,-,2023,文献数据,否
36490X0332023A,塑胶栈板（PP）,摇篮到坟墓,40kgCO2e / 个,-,2023,文献数据,否
36490X0342023A,塑胶栈板（PP）,摇篮到大门,22kgCO2e / 个,-,2023,文献数据,否
38924X0022014A,塑钢拉链,摇篮到大门,0.101kgCO2e / 千克,-,2014,文献数据,否
42120X0072018C,塑钢窗,摇篮到大门,121kgCO2e / 平方米,-,2018,文献数据,否
94332X0072013A,填埋-含填埋气回收(40%)及利用,摇篮到坟墓,245.5kgCO2e / 公吨,-,2013,文献数据,否
94332X0092017A,填埋-含填埋气回收（约70%）且利用,摇篮到坟墓,116.7kgCO2e / 公吨,-,2017,文献数据,否
94332X0082017A,填埋-含填埋气回收（约70%）而不利用,摇篮到坟墓,192.2kgCO2e / 公吨,-,2017,文献数据,否
94332X0062013A,填埋-含填埋气燃烧系统,摇篮到坟墓,566kgCO2e / 公吨,-,2013,文献数据,否
94332X0052013A,填埋-无填埋气回收,摇篮到坟墓,819.5kgCO2e / 公吨,-,2013,文献数据,否
94311X0182014A,填埋场渗滤液（新鲜渗滤液贮存池）,摇篮到坟墓,173.2kgCO2e / 公吨,-,2014,文献数据,否
94311X0192014A,填埋场渗滤液（老化渗滤液处理系统）,摇篮到坟墓,39.78kgCO2e / 公吨,-,2014,文献数据,否
35110X0042021B,墙面涂料,摇篮到大门,2560kgCO2e / 公吨,-,2021,文献数据,否
37950X0022020A,增碳剂,摇篮到坟墓,3.483tCO2e / 公吨,-,2020,文献数据,否
